English,Japanese,Short,Notes,Status
1-FF,1-FF,,source: Conversations.jp.xml,draft
Agate Severance Star,アゲート・セヴァレンス・スター,,source: Conversations.jp.xml,draft
Agyra,アギラ,,source: Conversations.jp.xml,draft
Aloysius,アロイシウス,,source: Conversations.jp.xml,draft
Angohind,アンゴヒンド,,source: Conversations.jp.xml,draft
Argyve,アルジーヴ,,source: Conversations.jp.xml,draft
Asphodel,アスフォデル,,source: Conversations.jp.xml,draft
Barathrum,バラサラム,,source: Conversations.jp.xml; HiddenConversations.jp.xml,draft
Bep,ベップ,,source: Conversations.jp.xml,draft
Chavvah Front Chime,チャイミング・ロック,,source: Conversations.jp.xml,draft
Chavvah Prime,チャヴァ・プライム,,=ディヴラック（Dyvvrach）,draft
Consortium Glowpad,奇妙な色のグロウパッド,,source: Conversations.jp.xml,draft
Crowsong,クロウソング,,source: Conversations.jp.xml,draft
Dadogom,ダドゴム,,source: Conversations.jp.xml,draft
Dagasha,ダガシャ,,source: Conversations.jp.xml,draft
Dardi,ダルディ,,source: Conversations.jp.xml,draft
Doyoba,ドヨバ,,source: Conversations.jp.xml,draft
Erah,エーラ,,source: Conversations.jp.xml,draft
Eskhind,エスキンド,,source: Conversations.jp.xml,draft
Euclid,エウクリッド,,source: Conversations.jp.xml,draft
Geeub,ジーブ,,source: Conversations.jp.xml,draft
Goek,ゴエク,,source: Conversations.jp.xml,draft
Gyamyo,ギャミオ,,source: Conversations.jp.xml,draft
Gyre Wight Agolgot,アゴルゴト,,source: Conversations.jp.xml,draft
Gyre Wight Bethsaida,ベツセイダ,,source: Conversations.jp.xml,draft
Gyre Wight Qas,カス,,source: Conversations.jp.xml,draft
Gyre Wight Qon,コン,,source: Conversations.jp.xml,draft
Gyre Wight Rermadon,レルマドン,,source: Conversations.jp.xml,draft
Gyre Wight Shug'ruith,シュグルイス,,source: Conversations.jp.xml,draft
Haddas,ハッダス,,source: Conversations.jp.xml,draft
Hortensa,ホルテンザ,,source: Conversations.jp.xml,draft
Irudad,イルーダド,,source: Conversations.jp.xml,draft
Isahind,イサヒンド,,source: Conversations.jp.xml,draft
Iseppa,イセッパ,,source: Conversations.jp.xml,draft
Jacobo,ハコボ,,source: Conversations.jp.xml,draft
Kah,カー,,source: Conversations.jp.xml,draft
Keh,ヒンドリアーク・ケー,,source: Conversations.jp.xml,draft
Kesehind,ケセヒンド,,source: Conversations.jp.xml,draft
Krka,クルカ,,source: Conversations.jp.xml,draft
Lebah,レバ,,source: Conversations.jp.xml,draft
Liihart,リーハート,,source: Conversations.jp.xml,draft
Lulihart,ルリハート,,source: Conversations.jp.xml,draft
Mafeo,マフェオ,,source: Conversations.jp.xml,draft
Mak,マク,,source: Conversations.jp.xml,draft
Many Eyes,メニー・アイズ,,source: Conversations.jp.xml,draft
Mehmet,メフメット,,source: Conversations.jp.xml,draft
Meyehind,メイエヒンド,,source: Conversations.jp.xml,draft
Miryam,ミリアム,,source: Conversations.jp.xml,draft
Nacham,ナハム,,source: Conversations.jp.xml,draft
Neek,ニーク,,source: Conversations.jp.xml,draft
Neelahind,ニーラヒンド,,source: Conversations.jp.xml,draft
Nima Ruda,ニマ・ルーダ,,source: Conversations.jp.xml,draft
Nuntu,ヌントゥ,,source: Conversations.jp.xml,draft
Oboroqoru,オボロコル,,source: Conversations.jp.xml,draft
Otho,オソ,,source: Conversations.jp.xml,draft
Phinae Hoshaiah,フィナエ・ホシャイア,,source: Conversations.jp.xml,draft
Resheph,レシェフ,,source: ChiliadFactions.jp.xml; Factions.jp.xml; HiddenConversations.jp.xml; world-factions.ja.json,draft
Rokhas,ロカス,,source: Conversations.jp.xml,draft
Santalalotze,サンタラロツェ,,source: Conversations.jp.xml,draft
Shem,シェム,,source: Conversations.jp.xml,draft
Shomer,レインウォーター・ショーマー,,source: Conversations.jp.xml,draft
Sixshrew,シックスシュルー,,source: Conversations.jp.xml,draft
Sparking Baetyl,火花を散らすベテル,,source: Conversations.jp.xml,draft
Tam,タム,,source: Conversations.jp.xml,draft
Tammuz,タムズ,,source: Conversations.jp.xml,draft
Tau Chime,静止した結晶のチャイム,,source: Conversations.jp.xml,draft
Tau No Longer,タウ＝ノー＝ロンガー,,source: Conversations.jp.xml,draft
Tau Soft,光るソフト,,source: Conversations.jp.xml,draft
Thah,タハ,,source: Conversations.jp.xml,draft
Thicksalt,シックソルト,,source: Conversations.jp.xml,draft
Tikva,ティクヴァ,,source: Conversations.jp.xml,draft
Tillifergaewicz,ティリフェルガウィッチ,,source: Conversations.jp.xml,draft
Tszappur,ツザップル,,source: Conversations.jp.xml,draft
Tzedech,ツェデク,,source: Conversations.jp.xml,draft
Une,ウネ,,source: Conversations.jp.xml,draft
Vaam,ヴァアム,,source: Conversations.jp.xml,draft
Vivira,ビヴィラ,,source: Conversations.jp.xml,draft
Wandering Tau,さすらいのタウ,,source: Conversations.jp.xml,draft
Warden Esthers,監視官エスター,,source: Conversations.jp.xml,draft
Warden Yrame,監視官イラメ,,source: Conversations.jp.xml,draft
Woodsprog,ウッドスプロッグ,,source: Conversations.jp.xml,draft
Yla Haj,イラ・ハジ,,source: Conversations.jp.xml,draft
Yona,ヨナ,,source: Conversations.jp.xml,draft
Yurl,ユル,,source: Conversations.jp.xml,draft
Zothom,ゾソム,,source: Conversations.jp.xml,draft
