English,Japanese,Short,Notes,Status
Baetyls,ベテル,,source: Factions.jp.xml; world-factions.ja.json,draft
Batfolk,コウモリ人,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Chavvah,チャヴァ,,source: Factions.jp.xml; world-factions.ja.json,draft
"Chavvah, the Tree of Life",生命の樹チャヴァ,,source: world-factions.ja.json,draft
Cherubim,ケルビム,,source: Factions.jp.xml; world-factions.ja.json,draft
Children of Mamon,マモンの子ら,,source: world-factions.ja.json,draft
Chiliad Mamon,キリアド・マモン,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Consortium,コンソーシアム,,source: Factions.jp.xml; world-factions.ja.json,draft
Cragmensch,クラッグメンシュ,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Cult of the Coiled Lamb,とぐろを巻く子羊のカルト,,source: world-factions.ja.json,draft
Dromad,ドロマド,,source: Factions.jp.xml; world-factions.ja.json,draft
Entropic,エントロピック,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Grandchildren of Mamon,マモンの孫たち,,source: world-factions.ja.json,draft
Gyre Wights,渦動ワイト,,source: Factions.jp.xml; world-factions.ja.json,draft
Issachari,イッサカリ,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Knight Liminal,ナイト・リミナル,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Knights Liminal,ナイト・リミナル,,source: world-factions.ja.json,draft
Mamon,マモン,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Naphtaali,ナフタリ,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Nephilim,ネフィリム,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Newly Sentient Beings,新知性体,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Quetzal Council,ケツァール評議会,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Seekers,盲道の徒,,source: Factions.jp.xml; world-factions.ja.json,draft
Sludges,スラッジ,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Snapjaws,スナップジョー,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Solos,ソロ,,source: Factions.jp.xml; world-factions.ja.json,draft
Soups,スープ,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Templar,テンプラー,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Wardens,監視官,,source: Factions.jp.xml; world-factions.ja.json,draft
Yanshufim,ヤンシュフィム,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
