English,Japanese,Short,Notes,Status
Arcade to the Twin Gates,双門へのアーケード,,source: Worlds.jp.xml,draft
Arrivarium,アライヴァリウム,,source: Worlds.jp.xml,draft
Ascension Chamber,上昇の間,,source: Worlds.jp.xml,draft
Atrium,アトリウム,,source: Worlds.jp.xml,draft
Barathrum's Study,バラサラムの書斎,,source: Worlds.jp.xml,draft
Black Wall,黒壁,,source: Worlds.jp.xml,draft
Bridge of Eidolons,イデオロンの橋,,"source: Worlds.jp.xml; XML実装は「イデオロンの橋」—タスク指摘の「イドロンの橋」とは異なる。XML基準を優先",draft
City of Bones,骨の都,,source: Worlds.jp.xml,draft
Cloaca,クロアカ,,source: Worlds.jp.xml,draft
Columbarium: Landlords and Changers,納骨堂：地主と変革者,,source: Worlds.jp.xml,draft
Court of the Sultans,スルタンの宮廷,,source: Worlds.jp.xml,draft
Crematory,火葬場,,source: Worlds.jp.xml,draft
Crematory Machine Room,火葬場の機械室,,source: Worlds.jp.xml,draft
Darkunder,暗き底,,source: Worlds.jp.xml,draft
Earth Gate,地の門,,source: Worlds.jp.xml,draft
Exodus,エクソダス,,source: Worlds.jp.xml,draft
Folk Catacombs,民のカタコンベ,,source: Worlds.jp.xml,draft
Grand Vestibule,大前室,,source: Worlds.jp.xml,draft
Great Sea,大海,,source: Worlds.jp.xml,draft
Liminal Way,境界の道,,source: Worlds.jp.xml,draft
Lower Crypts: Warriors and Tutors,下層墓所：戦士と教師,,source: Worlds.jp.xml,draft
Northern Ark,北方の方舟,,source: Worlds.jp.xml,draft
Northwise moors,北の湿原,,source: Worlds.jp.xml,draft
Point of Tifaret,ティファレトの頂,,source: Worlds.jp.xml,draft
Shallow Stair,浅階,,source: Worlds.jp.xml,draft
Shielding Arch,庇護のアーチ,,source: Worlds.jp.xml,draft
Spindle Channel,スピンドルの水路,,source: Worlds.jp.xml,draft
Star Orchid Temple,星蘭の寺院,,source: Worlds.jp.xml,draft
Starfarer's Quay,星渡りの桟橋,,source: Worlds.jp.xml,draft
Swilling Vast,大呑の淵,,source: Worlds.jp.xml,draft
Tether Bay,テザー湾,,source: Worlds.jp.xml,draft
The Great Siach,大シアフ,,source: Worlds.jp.xml,draft
The North Sheva,ノース・シェヴァ,,source: Worlds.jp.xml,draft
Tunnels of Ur,ウルの坑道,,source: Worlds.jp.xml,draft
Tzimtzlum,ツィムツルム,,source: Worlds.jp.xml,draft
Upper Crypts: Priests and Royal Families,上層墓所：司祭と王族,,source: Worlds.jp.xml,draft
