English,Japanese,Short,Notes,Status
Acid Slime Glands,酸性スライム腺,,source: HiddenMutations.jp.xml,draft
Acrobatics,曲芸,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Adrenal Control,アドレナリン制御,,source: Mutations.jp.xml,draft
Akimbo,二挺撃ち,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Albino,アルビノ,,source: Mutations.jp.xml,draft
Amnesia,健忘,,source: Mutations.jp.xml,draft
Amphibious,両生,,source: Mutations.jp.xml,draft
Amputate Limb,四肢を切断する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Apothecary,治療する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Astral,アストラル,,source: HiddenMutations.jp.xml,draft
Axe,斧,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Axe Proficiency,斧,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Backswing,返し打ち,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Beacon Fire,ビーコン射撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Beak,くちばし,,source: Mutations.jp.xml,draft
Beguiling,魅了,,source: Mutations.jp.xml,draft
Berate,叱咤する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Berserk!,狂乱する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Bilge Sphincter,ビルジスフィンクター,,source: HiddenMutations.jp.xml,draft
Blinking Tic,瞬間移動癖,,source: Mutations.jp.xml,draft
Block,受け流し,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Bloodletter,血を流させる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Bludgeon,殴打,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Bow and Rifle,弓とライフル,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Brittle Bones,脆弱骨格,,source: Mutations.jp.xml,draft
Burgeoning,繁茂,,source: Mutations.jp.xml,draft
Burrowing,穴掘り,,source: HiddenMutations.jp.xml,draft
Burrowing Claws,掘削爪,,source: Mutations.jp.xml,draft
Butchery,解体,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Calloused,分厚い皮膚,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Carapace,甲殻,,source: Mutations.jp.xml,draft
Carbide Chef,カーバイドシェフ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Carnivorous,肉食,,source: Mutations.jp.xml,draft
Charge,突撃する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
