English,Japanese,Short,Notes,Status
0lam,0ラム,,source: Creatures.jp.xml,draft
1-FF,1-FF,,source: Conversations.jp.xml,draft
acid,酸,,source: ui-liquids.ja.json,draft
Across The Spindle 1,スピンドルを越えて 第1巻,,source: Books.jp.xml,draft
Across The Spindle 2,スピンドルを越えて 第2巻,,source: Books.jp.xml,draft
Across The Spindle 3,スピンドルを越えて 第3巻,,source: Books.jp.xml,draft
Agate Severance Star,アゲート・セヴァレンス・スター,,source: Conversations.jp.xml,draft
Agyra,アギラ,,source: Conversations.jp.xml,draft
Aloysius,アロイシウス,,source: Conversations.jp.xml,draft
Amaranthine Prism,黒いガラス,,source: Books.jp.xml,draft
Angohind,アンゴヒンド,,source: Conversations.jp.xml,draft
Aoyg-No-Longer,アオイグ＝ノー＝ロンガー,,source: Creatures.jp.xml,draft
Arcade to the Twin Gates,双門へのアーケード,,source: Worlds.jp.xml,draft
Argyve,アルジーヴ,,source: Conversations.jp.xml,draft
Arrivarium,アライヴァリウム,,source: Worlds.jp.xml,draft
Ascension Chamber,上昇の間,,source: Worlds.jp.xml,draft
asphalt,アスファルト,,source: ui-liquids.ja.json,draft
Asphalt Mines,アスファルト鉱山,アスファルト鉱山,,draft
Asphodel,アスフォデル,,source: Conversations.jp.xml,draft
Atrium,アトリウム,,source: Worlds.jp.xml,draft
Baetyls,ベテル,,source: Factions.jp.xml; world-factions.ja.json,confirmed
Banana grove,バナナ園,バナナ園,,draft
Banner-Knight Templar,旗手聖堂騎士,旗手聖堂騎士,位階・役目の前置修飾,draft
Barathrum,バラサラム,,source: Conversations.jp.xml; HiddenConversations.jp.xml,confirmed
Barathrum the Old,バラサラム（老）,バラサラム（老）,バラサラム派を率いる巣主。括弧書きも含めて固定,draft
Barathrum's Study,バラサラムの書斎,,source: Worlds.jp.xml,draft
Barathrumites,バラサラム派（技師団）,バラサラム派,表記ゆれ：バラトラム派／拠点は Grit Gate。発明家集団,draft
Baroque Ruins,バロック遺構,バロック遺構,,draft
Batfolk,コウモリ人,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Bep,ベップ,,source: Conversations.jp.xml,draft
Bethesda Susa,ベテスダ・スーサ,ベテスダ・スーサ,山岳遺構。聖書由来の地名なのでベテスダが正統表記,draft
Bey Lah,ベイ・ラー,ベイ・ラー,ヒンドレンの村,draft
black ooze,黒い軟泥,,source: ui-liquids.ja.json,draft
Black Wall,黒壁,,source: Worlds.jp.xml,draft
blaze tonic,ブレイズトニック,,source: world-effects-tonics.ja.json,draft
blood,血,,source: ui-liquids.ja.json,draft
Blood and Fear,血と恐怖：ラーのライフサイクルについて,,source: Books.jp.xml,draft
brackish,汽水,,source: ui-liquids.ja.json,draft
brain-brine,脳髄汁,,source: ui-liquids.ja.json,draft
Bridge of Eidolons,イデオロンの橋,,source: Worlds.jp.xml; XML実装は「イデオロンの橋」—タスク指摘の「イドロンの橋」とは異なる。XML基準を優先,draft
brown sludge,茶色い汚泥,,source: ui-liquids.ja.json,draft
Canticles 3,クロームの雅歌 第17-24節,,source: Books.jp.xml,draft
Chavvah,チャヴァ,,source: Factions.jp.xml; world-factions.ja.json,confirmed
Chavvah Front Chime,チャイミング・ロック,,source: Conversations.jp.xml,draft
Chavvah Prime,チャヴァ・プライム,,=ディヴラック（Dyvvrach）,draft
"Chavvah, the Tree of Life",生命の樹チャヴァ,,source: world-factions.ja.json,draft
Cherubim,ケルビム,,source: Factions.jp.xml; world-factions.ja.json,draft
Children of Mamon,マモンの子ら,,source: world-factions.ja.json,draft
Chiliad Mamon,キリアド・マモン,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Chrome,クローム,,lore substance / divine concept,confirmed
Chrome Pyramid,クローム・ピラミッド,,敵クラス,confirmed
cider,サイダー,,source: ui-liquids.ja.json,draft
City of Bones,骨の都,,source: Worlds.jp.xml,draft
Cloaca,クロアカ,,source: Worlds.jp.xml,draft
cloning-draught,クローン薬液,,source: ui-liquids.ja.json,draft
Columbarium: Landlords and Changers,納骨堂：地主と変革者,,source: Worlds.jp.xml,draft
Consortium,コンソーシアム,,source: Factions.jp.xml; world-factions.ja.json,draft
Consortium Glowpad,奇妙な色のグロウパッド,,source: Conversations.jp.xml,draft
Consortium of Phyta,フィタ・コンソーシアム（植物連合）,フィタ連合,植物派閥／カタカナ優先,draft
convalessence,コンバレセンス,,source: ui-liquids.ja.json,draft
Council at Gamma Rock,ガンマ・ロックの評議会,,source: Books.jp.xml,draft
Court of the Sultans,スルタンの宮廷,,source: Worlds.jp.xml,draft
Cragmensch,クラッグメンシュ,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Crematory,火葬場,,source: Worlds.jp.xml,draft
Crematory Machine Room,火葬場の機械室,,source: Worlds.jp.xml,draft
Crowsong,クロウソング,,source: Conversations.jp.xml,draft
Crysteel,クリスティール,,結晶鋼素材,draft
Ctesiphus,クテシフス,,source: Creatures.jp.xml,draft
Cult of the Coiled Lamb,とぐろを巻く子羊のカルト,,source: world-factions.ja.json,draft
Dadogom,ダドゴム,,source: Conversations.jp.xml,draft
Dagasha,ダガシャ,,source: Conversations.jp.xml,draft
Dardi,ダルディ,,source: Conversations.jp.xml,draft
Darkunder,暗き底,,source: Worlds.jp.xml,draft
Daughters of Exile,流配の娘たち,流配の娘たち,修道会系の小派閥,draft
Diary,昆布の紐で縛られた巻物,,source: Books.jp.xml,draft
Disquisition On The Malady Of The Mimic,ミミック病論,,source: Books.jp.xml,draft
Doyoba,ドヨバ,,source: Conversations.jp.xml,draft
Dromad,ドロマド,,source: Factions.jp.xml; world-factions.ja.json,draft
Dromad merchants,ドロマド商団,ドロマド,キャラバン商人,draft
Dyvvrach,ディヴラック,,source: Creatures.jp.xml,draft
Earth Gate,地の門,,source: Worlds.jp.xml,draft
Eaters,喰らう者,喰らう者,旧世界の支配者層。「喰らう者」と表記し単複同形,confirmed
Entropic,エントロピック,,source: Factions.jp.xml; world-factions.ja.json; Factions DisplayName=高エントロピー存在,draft
Entropy to Hierarchy 2,エントロピーからヒエラルキーへ 第2版,,source: Books.jp.xml,draft
Erah,エーラ,,source: Conversations.jp.xml,draft
Eschelstadt II,エッシェルシュタット II,,source: Creatures.jp.xml,draft
Eskhind,エスキンド,,source: Conversations.jp.xml,draft
Eta and the Earthling 1,エータと地球人 第一篇,,source: Books.jp.xml,draft
Euclid,エウクリッド,,source: Conversations.jp.xml,draft
Exodus,エクソダス,,source: Worlds.jp.xml,draft
